username,followers,following,tweets,created_at,source,bot_score,profile_url
Downtownfairy,14200,10092,133793,2013-04-12T06:51:01+00:00,replies,0.1927,https://x.com/Downtownfairy
jess7719,14178,11991,190131,2015-11-11T02:39:46+00:00,replies,0.3688,https://x.com/jess7719
YossarianLocker,14099,10847,33858,2008-12-08T21:51:57+00:00,replies,0.3409,https://x.com/YossarianLocker
sickofitMomma,14079,13824,35381,2022-10-28T10:49:32+00:00,replies,0.3514,https://x.com/sickofitMomma
SteveElsass,13439,12483,36183,2009-12-23T11:21:48+00:00,replies,0.3132,https://x.com/SteveElsass
Xmade,13376,12076,82173,2021-03-20T21:08:58+00:00,replies,0.2357,https://x.com/Xmade
Ariescc76,13333,12031,28675,2021-08-09T14:36:46+00:00,replies,0.366,https://x.com/Ariescc76
RickBColby,13249,9725,60005,2009-05-14T10:40:12+00:00,replies,0.2285,https://x.com/RickBColby
llamatodd,13206,2024,14125,2009-04-28T16:28:12+00:00,replies,0.2831,https://x.com/llamatodd
GiffLasta,13205,265,42371,2019-12-05T23:15:51+00:00,replies,0.2567,https://x.com/GiffLasta
shan3v,12997,9277,20830,2007-05-15T17:57:28+00:00,replies,0.1951,https://x.com/shan3v
harry_the_k,12936,11375,46795,2023-06-02T11:41:33+00:00,replies,0.348,https://x.com/harry_the_k
TBMKEBADGER,12781,10613,67718,2009-08-28T12:23:22+00:00,replies,0.3717,https://x.com/TBMKEBADGER
LanierTrader,12598,13081,180535,2014-06-12T18:22:53+00:00,replies,0.3458,https://x.com/LanierTrader
brentcutburth,12481,10489,25824,2012-07-20T15:24:48+00:00,replies,0.2474,https://x.com/brentcutburth
Chloestylo,12474,3243,95049,2013-08-05T07:06:25+00:00,replies,0.2399,https://x.com/Chloestylo
Robertus49BC,12253,12402,15609,2023-07-28T15:10:08+00:00,replies,0.3037,https://x.com/Robertus49BC
Ezinger44,12156,4631,191118,2009-01-30T03:01:45+00:00,replies,0.3058,https://x.com/Ezinger44
MessSparkles,12146,9726,27294,2022-11-06T13:10:37+00:00,replies,0.2547,https://x.com/MessSparkles
Azraels_Brother,12032,9382,90109,2022-05-26T01:53:08+00:00,replies,0.3815,https://x.com/Azraels_Brother
tcarm12,11800,12118,52338,2011-01-10T18:01:23+00:00,replies,0.3621,https://x.com/tcarm12
ada_ziv,11784,11255,142594,2016-09-24T15:37:29+00:00,replies,0.3755,https://x.com/ada_ziv
shadiilane,11623,9793,42762,2011-12-13T06:03:45+00:00,replies,0.2262,https://x.com/shadiilane
MichaelMontalt2,11571,10569,197274,2012-02-24T23:27:32+00:00,quotes,0.3066,https://x.com/MichaelMontalt2
GolliAir,11345,10746,35341,2022-11-21T00:48:12+00:00,replies,0.2282,https://x.com/GolliAir
salty_american,11321,12467,162665,2011-01-08T22:03:09+00:00,replies,0.3515,https://x.com/salty_american
Msfixit95,11301,9872,55163,2022-10-24T12:38:05+00:00,replies,0.302,https://x.com/Msfixit95
echo16photo,11228,11092,19878,2022-05-02T15:18:34+00:00,replies,0.3505,https://x.com/echo16photo
rebekah930,11131,10263,86987,2009-06-20T19:52:36+00:00,replies,0.3619,https://x.com/rebekah930
SaturnsLady,11036,11100,16726,2009-06-19T16:43:46+00:00,replies,0.3398,https://x.com/SaturnsLady
natashahipp,10746,1289,569474,2013-07-24T01:56:15+00:00,replies,0.3009,https://x.com/natashahipp
CliveAitch,10725,10828,228485,2022-04-25T21:07:51+00:00,retweeter,0.352,https://x.com/CliveAitch
PoliceStateNWO,10542,8456,8861,2022-04-28T00:39:09+00:00,quotes,0.3551,https://x.com/PoliceStateNWO
RareVicRec,10474,306,20944,2012-05-02T04:07:06+00:00,replies,0.3377,https://x.com/RareVicRec
pamela_pesta,10364,3492,34711,2018-10-08T22:27:34+00:00,replies,0.1979,https://x.com/pamela_pesta
GordoCDA,10235,1497,117555,2019-02-23T19:20:26+00:00,quotes,0.2929,https://x.com/GordoCDA
JohnWRosenfeld,10147,699,48574,2010-12-09T14:49:41+00:00,replies,0.2616,https://x.com/JohnWRosenfeld
Tobiwan_Hexobi,10102,3726,46196,2009-03-12T06:36:54+00:00,replies,0.2863,https://x.com/Tobiwan_Hexobi
lalalainsd,10019,11019,34640,2013-08-03T17:27:17+00:00,replies,0.2139,https://x.com/lalalainsd
roosterpisces,9885,9016,326558,2009-07-11T21:13:26+00:00,quotes,0.2799,https://x.com/roosterpisces
PeterWallaceAU,9662,5455,59809,2015-02-03T00:00:52+00:00,replies,0.2179,https://x.com/PeterWallaceAU
yintercept,9645,9580,16566,2007-03-24T04:37:25+00:00,replies,0.2367,https://x.com/yintercept
FloreFlos,9606,7491,116637,2013-08-20T16:40:36+00:00,replies,0.2209,https://x.com/FloreFlos
EastTNMama,9457,8698,31524,2015-05-19T00:52:26+00:00,quotes,0.3616,https://x.com/EastTNMama
OccupyLibraries,9323,6766,210125,2015-08-13T05:48:35+00:00,replies,0.3851,https://x.com/OccupyLibraries
jtevelow,9322,2528,9095,2009-09-12T20:07:45+00:00,replies,0.2994,https://x.com/jtevelow
severo_michele,9185,7163,166131,2012-07-19T02:42:07+00:00,replies,0.3784,https://x.com/severo_michele
ShadowPatriotUS,9136,3618,40495,2021-09-18T13:44:41+00:00,replies,0.2438,https://x.com/ShadowPatriotUS
SumSol44,9046,9846,55261,2022-10-29T05:17:08+00:00,replies,0.3967,https://x.com/SumSol44
MrsMissourii,9041,6522,75185,2009-05-24T15:33:52+00:00,replies,0.3052,https://x.com/MrsMissourii
freckles224,8792,9322,29440,2020-03-17T22:29:02+00:00,replies,0.3345,https://x.com/freckles224
Falgi,8777,7344,219499,2009-05-23T23:48:46+00:00,replies,0.318,https://x.com/Falgi
